+1.000000e+000	   +6.803228e-006
+2.000000e+000	   +2.009280e-006
+3.000000e+000	   +3.629102e-007
+4.000000e+000	   +3.735474e-007
+5.000000e+000	   +5.702858e-007
+6.000000e+000	   +6.706636e-007
+7.000000e+000	   +4.910211e-007
+8.000000e+000	   +3.850156e-007
+9.000000e+000	   +4.729619e-007
+1.000000e+001	   +5.522746e-007
+1.100000e+001	   +7.318657e-007
+1.200000e+001	   +7.454269e-007
+1.300000e+001	   +5.124973e-007
+1.400000e+001	   +4.015100e-007
+1.500000e+001	   +3.613187e-007
+1.600000e+001	   +3.341254e-007
+1.700000e+001	   +3.436864e-007
+1.800000e+001	   +4.040750e-007
+1.900000e+001	   +4.789080e-007
+2.000000e+001	   +4.480349e-007
+2.100000e+001	   +3.754928e-007
+2.200000e+001	   +3.274991e-007
+2.300000e+001	   +3.273438e-007
+2.400000e+001	   +3.466595e-007
+2.500000e+001	   +3.611656e-007
+2.600000e+001	   +3.855909e-007
+2.700000e+001	   +3.692114e-007
+2.800000e+001	   +3.422483e-007
+2.900000e+001	   +3.277679e-007
+3.000000e+001	   +3.255464e-007
+3.100000e+001	   +3.370081e-007
+3.200000e+001	   +3.574459e-007
+3.300000e+001	   +4.025137e-007
+3.400000e+001	   +8.672479e-007
+3.500000e+001	   +1.946347e-006
+3.600000e+001	   +2.163481e-006
+3.700000e+001	   +1.165622e-006
+3.800000e+001	   +4.302179e-007
+3.900000e+001	   +3.525272e-007
+4.000000e+001	   +3.423306e-007
+4.100000e+001	   +3.239849e-007
+4.200000e+001	   +3.520166e-007
+4.300000e+001	   +3.540772e-007
+4.400000e+001	   +3.407242e-007
+4.500000e+001	   +3.528261e-007
+4.600000e+001	   +3.408724e-007
+4.700000e+001	   +3.266100e-007
+4.800000e+001	   +3.401605e-007
+4.900000e+001	   +3.443259e-007
+5.000000e+001	   +3.151602e-007
+5.100000e+001	   +2.832260e-007
+5.200000e+001	   +2.983085e-007
+5.300000e+001	   +3.282605e-007
+5.400000e+001	   +3.677181e-007
+5.500000e+001	   +3.716778e-007
+5.600000e+001	   +3.488761e-007
+5.700000e+001	   +3.482630e-007
+5.800000e+001	   +3.499361e-007
+5.900000e+001	   +3.746285e-007
+6.000000e+001	   +3.955313e-007
+6.100000e+001	   +3.791230e-007
+6.200000e+001	   +3.544179e-007
+6.300000e+001	   +3.581703e-007
+6.400000e+001	   +3.441807e-007
+6.500000e+001	   +3.268740e-007
+6.600000e+001	   +3.547131e-007
+6.700000e+001	   +3.682050e-007
+6.800000e+001	   +3.462069e-007
+6.900000e+001	   +3.398977e-007
+7.000000e+001	   +3.472759e-007
+7.100000e+001	   +3.318295e-007
+7.200000e+001	   +3.112844e-007
+7.300000e+001	   +3.089934e-007
+7.400000e+001	   +3.003461e-007
+7.500000e+001	   +3.142849e-007
+7.600000e+001	   +3.278388e-007
+7.700000e+001	   +3.295508e-007
+7.800000e+001	   +3.220792e-007
+7.900000e+001	   +3.279972e-007
+8.000000e+001	   +3.339424e-007
+8.100000e+001	   +3.451768e-007
+8.200000e+001	   +3.475803e-007
+8.300000e+001	   +3.228890e-007
+8.400000e+001	   +3.211262e-007
+8.500000e+001	   +3.466972e-007
+8.600000e+001	   +3.515049e-007
+8.700000e+001	   +3.297441e-007
+8.800000e+001	   +3.257845e-007
+8.900000e+001	   +3.209644e-007
+9.000000e+001	   +3.177972e-007
+9.100000e+001	   +3.231369e-007
+9.200000e+001	   +3.287038e-007
+9.300000e+001	   +3.507404e-007
+9.400000e+001	   +3.660822e-007
+9.500000e+001	   +3.408002e-007
